time,running_avg_rt_ms
3411.8381,137.1093
3411.9893,137.1093
3412.0137,137.1092
3412.0146,137.1092
3412.0900,137.1099
3412.0960,137.1105
3412.1625,137.1113
3412.1790,137.1116
3412.1979,137.1120
3412.1997,137.1119
3412.2519,137.1117
3412.2938,137.1119
3412.3615,137.1125
3412.3832,137.1128
3412.3905,137.1131
3412.4112,137.1133
3412.4167,137.1128
3412.4671,137.1128
3412.4886,137.1125
3412.5585,137.1127
3412.5642,137.1121
3412.5858,137.1111
3412.6147,137.1095
3412.6761,137.1080
3412.7858,137.1068
3412.7987,137.1054
3412.8507,137.1040
3412.8787,137.1028
3412.9296,137.1017
3412.9979,137.1011
3413.0037,137.1004
3413.0150,137.0996
3413.0186,137.0983
3413.0210,137.0967
3413.0785,137.0953
3413.1103,137.0938
3413.2144,137.0932
3413.2184,137.0923
3413.2526,137.0916
3413.2945,137.0913
3413.3216,137.0909
3413.3601,137.0895
3413.3877,137.0884
3413.4135,137.0874
3413.4952,137.0869
3413.4991,137.0862
3413.6000,137.0865
3413.6402,137.0871
3413.6666,137.0880
3413.7574,137.0896
3413.7635,137.0901
3413.7732,137.0902
3413.8197,137.0905
3413.8759,137.0909
3414.0472,137.0932
3414.0584,137.0952
3414.0672,137.0965
3414.0746,137.0978
3414.1298,137.0993
3414.1440,137.1007
3414.1655,137.1022
3414.2710,137.1033
3414.3541,137.1052
3414.3636,137.1068
3414.4056,137.1082
3414.4169,137.1096
3414.5827,137.1129
3414.5890,137.1162
3414.6416,137.1199
3414.6954,137.1240
3414.7099,137.1281
3414.7170,137.1322
3414.7283,137.1351
3414.7679,137.1384
3414.8059,137.1420
3414.8161,137.1457
3414.8332,137.1496
3414.8608,137.1538
3414.8643,137.1571
3414.9089,137.1606
3414.9250,137.1641
3414.9607,137.1678
3414.9711,137.1713
3414.9805,137.1748
3414.9906,137.1774
3414.9978,137.1795
3415.0244,137.1812
3415.0341,137.1830
3415.0569,137.1850
3415.0658,137.1871
3415.0777,137.1890
3415.0889,137.1901
3415.1030,137.1901
3415.1326,137.1904
3415.1823,137.1906
3415.1855,137.1904
3415.1902,137.1902
3415.2057,137.1897
3415.2698,137.1885
3415.2957,137.1875
3415.3007,137.1862
3415.4612,137.1866
3415.4879,137.1864
3415.5233,137.1865
3415.5252,137.1862
3415.5751,137.1862
3415.5882,137.1858
3415.6739,137.1845
3415.6903,137.1829
3415.7205,137.1813
3415.7755,137.1799
3415.9022,137.1796
3415.9409,137.1794
3416.0204,137.1801
3416.1027,137.1817
3416.1054,137.1820
3416.1483,137.1823
3416.1493,137.1823
3416.1897,137.1822
3416.2071,137.1822
3416.2357,137.1825
3416.2409,137.1824
3416.3001,137.1823
3416.3130,137.1819
3416.3641,137.1817
3416.4876,137.1827
3416.4983,137.1835
3416.5290,137.1843
3416.5726,137.1853
3416.6002,137.1862
3416.6234,137.1864
3416.6774,137.1867
3416.6921,137.1872
3416.6941,137.1873
3416.7889,137.1878
3416.8099,137.1868
3416.8249,137.1859
3416.8279,137.1850
3416.8874,137.1847
3416.9700,137.1834
3417.0490,137.1818
3417.0905,137.1804
3417.1580,137.1796
3417.2233,137.1792
3417.2243,137.1789
3417.2675,137.1790
3417.2788,137.1788
3417.3017,137.1781
3417.3149,137.1777
3417.3710,137.1770
3417.3867,137.1765
3417.4596,137.1767
3417.5399,137.1771
3417.6089,137.1780
3417.6244,137.1789
3417.6350,137.1790
3417.7315,137.1799
3417.7430,137.1799
3417.7682,137.1798
3417.8330,137.1804
3417.8709,137.1806
3417.9925,137.1822
3418.1099,137.1846
3418.1741,137.1877
3418.2331,137.1908
3418.2678,137.1940
3418.2921,137.1966
3418.3267,137.1994
3418.3512,137.2020
3418.3766,137.2049
3418.4434,137.2079
3418.4452,137.2103
3418.5101,137.2128
3418.5238,137.2149
3418.5717,137.2172
3418.6403,137.2199
3418.6725,137.2226
3418.6851,137.2245
3418.6999,137.2263
3418.7035,137.2273
3418.7246,137.2279
3418.7327,137.2282
3418.7426,137.2277
3418.7651,137.2271
3418.7884,137.2267
3418.8443,137.2267
3418.8487,137.2257
3418.8783,137.2248
3418.8804,137.2239
3418.9021,137.2230
3418.9561,137.2228
3419.0477,137.2231
3419.0968,137.2238
3419.1034,137.2223
3419.1624,137.2209
3419.1841,137.2196
3419.2225,137.2181
3419.3352,137.2170
3419.3752,137.2155
3419.4032,137.2143
3419.4801,137.2139
